☁ cloud 
🌩 cloud_with_lightning                                 
⛈ cloud_with_lightning_and_rain             
🌧 cloud_with_rain               
🌨 cloud_with_snow      
🌪 cloud_with_tornado
⚡ high_voltage
🌡 thermometer
🌫 fog
☂ umbrella
❄ snowflake 
☀ sunny
😎 sunglasses
⛅ sun_behind_cloud                                     
🌥 sun_behind_large_cloud                                
🌦 sun_behind_rain_cloud                                 
🌤 sun_behind_small_cloud  
⛅ partly_sunny
🌬 wind_blowing_face
🌥 white_sun_behind_cloud                                
🌦 white_sun_behind_cloud_with_rain                      
🌤 white_sun_with_small_cloud  
